State,Candidate,Party,Votes,Vote share,Electoral votes,Expected votes counted (%)
Missouri,Jared Young,The Better Party,"21,111",0.70%,99%,
Missouri,Nathan Kline,Green,"20,123",0.70%,99%,
Montana,Tim Sheehy wins,Republican,"319,682",52.60%,100%,
Montana,Jon Tester,Democratic,"276,305",45.50%,100%,
Montana,Sid Daoud,Libertarian,"7,272",1.20%,100%,
Montana,Robert Barb,Green,"4,003",0.70%,100%,
Montana,Write-ins,Write - In,0,0.00%,100%,
Nebraska,Deb Fischer wins,Republican,"499,124",53.30%,98.30%,
Nebraska,Dan Osborn,Independent,"436,493",46.70%,98.30%,
Nevada,Jacky Rosen wins,Democratic,"701,105",47.90%,98.60%,
Nevada,Sam Brown,Republican,"677,046",46.20%,98.60%,
Nevada,None of these candidates,None Of The Above,"44,380",3.00%,98.60%,
Nevada,Janine Hansen,Independent American,"21,316",1.50%,98.60%,
Nevada,Chris Cunningham,Libertarian,"20,881",1.40%,98.60%,
New Jersey,Andy Kim wins,Democratic,"2,161,084",53.60%,89.70%,
New Jersey,Curtis Bashaw,Republican,"1,773,418",43.90%,89.70%,
New Jersey,Christina Khalil,Green,"45,435",1.10%,89.70%,
New Jersey,Kenneth Kaplan,Libertarian,"24,240",0.60%,89.70%,
New Jersey,Patricia Mooneyham,Independent,"17,209",0.40%,89.70%,
New Jersey,Joanne Kuniansky,Socialist Workers Party,"9,802",0.20%,89.70%,
New Jersey,Write-ins,Write - In,"4,309",0.10%,89.70%,
New Mexico,Martin Heinrich wins,Democratic,"497,333",55.10%,97.80%,
New Mexico,Nella Domenici,Republican,"405,978",44.90%,97.80%,
New York,Kirsten Gillibrand wins,Democratic,"4,491,538",58.20%,96.50%,
New York,Mike Sapraicone,Republican,"3,191,676",41.30%,96.50%,
New York,Diane Sare,Independent,"36,585",0.50%,96.50%,
North Dakota,Kevin Cramer wins,Republican,"241,569",66.50%,98.60%,
North Dakota,Katrina Christiansen,Democratic,"121,602",33.50%,98.60%,
Ohio,Bernie Moreno wins,Republican,"2,857,383",50.10%,98.90%,
Ohio,Sherrod Brown,Democratic,"2,650,949",46.50%,98.90%,
Ohio,Don Kissick,Libertarian,"195,648",3.40%,98.90%,
Ohio,Write-ins,Write - In,640,0.00%,98.90%,
Pennsylvania,Dave McCormick wins,Republican,"3,399,366",48.80%,98.80%,
Pennsylvania,Bob Casey,Democratic,"3,384,170",48.60%,98.80%,
Pennsylvania,John Thomas,Libertarian,"89,658",1.30%,98.80%,
Pennsylvania,Leila Hazou,Green,"66,385",1.00%,98.80%,
Pennsylvania,Marty Selker,Constitution,"23,620",0.30%,98.80%,
Pennsylvania,Write-ins,Write - In,82,0.00%,98.80%,
Rhode Island,Sheldon Whitehouse wins,Democratic,"293,309",59.80%,95.80%,
Rhode Island,Patricia Morgan,Republican,"195,927",39.90%,95.80%,
Rhode Island,Write-ins,Write - In,"1,239",0.30%,95.80%,
Tennessee,Marsha Blackburn wins,Republican,"1,918,743",63.80%,98.20%,
Tennessee,Gloria Johnson,Democratic,"1,027,461",34.20%,98.20%,
Tennessee,Tharon Chandler,Independent,"28,444",0.90%,98.20%,
Tennessee,Pamela Moses,Independent,"24,682",0.80%,98.20%,
Tennessee,Hastina Robinson,Independent,"8,278",0.30%,98.20%,
Texas,Ted Cruz wins,Republican,"5,990,741",53.10%,99.10%,
Texas,Colin Allred,Democratic,"5,031,249",44.60%,99.10%,
Texas,Ted Brown,Libertarian,"267,039",2.40%,99.10%,
Texas,Write-ins,Write - In,"2,825",0.00%,99.10%,
Utah,John Curtis wins,Republican,"914,700",62.50%,98.30%,
Utah,Caroline Gleich,Democratic,"464,515",31.70%,98.30%,
Utah,Carlton Bowen,Independent American,"83,972",5.70%,98.30%,
Utah,Write-ins,Write - In,322,0.00%,98.30%,
Vermont,Bernie Sanders wins,Independent,"229,429",63.20%,98.30%,
Vermont,Gerald Malloy,Republican,"116,512",32.10%,98.30%,
Vermont,Steve Berry,Independent,"7,941",2.20%,98.30%,
Vermont,Matt Hill,Libertarian,"4,530",1.20%,98.30%,
Vermont,Justin Schoville,Peace and Justice,"3,339",0.90%,98.30%,
Vermont,Mark Stewart Greenstein,Epic,"1,104",0.30%,98.30%,
Vermont,Write-ins,Write - In,398,0.10%,98.30%,
Virginia,Tim Kaine wins,Democratic,"2,417,115",54.50%,99%,
Virginia,Hung Cao,Republican,"2,019,911",45.50%,99%,
Washington,Maria Cantwell wins,Democratic,"2,252,577",59.30%,96.90%,
Washington,Raul Garcia,Republican,"1,549,187",40.70%,96.90%,
West Virginia,Jim Justice wins,Republican,"514,079",68.80%,97.70%,
West Virginia,Glenn Elliott,Democratic,"207,548",27.80%,97.70%,
West Virginia,David Moran,Libertarian,"26,075",3.50%,97.70%,
West Virginia,Write-ins,Write - In,0,0.00%,97.70%,
Wisconsin,Tammy Baldwin wins,Democratic,"1,672,777",49.40%,99%,
Wisconsin,Eric Hovde,Republican,"1,643,996",48.50%,99%,
Wisconsin,Phil Anderson,Libertarian,"42,315",1.20%,99%,
Wisconsin,Thomas Leager,American First Coalition,"28,751",0.80%,99%,
Wyoming,John Barrasso wins,Republican,"198,418",75.10%,98.20%,
Wyoming,Scott Morrow,Democratic,"63,727",24.10%,98.20%,
Wyoming,Write-ins,Write - In,"2,017",0.80%,98.20%,
Govenors race results,,,,,,
State,Candidate,Party,Votes,Vote share,Expected votes counted (%),
Delaware,Matt Meyer wins,Democratic (incumbent),"279,585",56.10%,97.40%,
Delaware,Mike Ramone,Republican,"219,050",43.90%,97.40%,
Delaware,Write-ins,Write - In,0,0.00%,97.40%,
Indiana,Mike Braun wins,Republican (incumbent),"1,576,887",54.50%,97.80%,
Indiana,Jennifer McCormick,Democratic,"1,187,895",41.00%,97.80%,
Indiana,Donald Rainwater,Libertarian,"131,156",4.50%,97.80%,
Indiana,Write-ins,Write - In,6,0.00%,97.80%,
Missouri,Mike Kehoe wins,Republican (incumbent),"1,750,802",59.10%,98.80%,
Missouri,Crystal Quade,Democratic,"1,146,173",38.70%,98.80%,
Missouri,Bill Slantz,Libertarian,"40,908",1.40%,98.80%,
Missouri,Paul Lehmann,Green,"22,359",0.80%,98.80%,
Montana,Greg Gianforte wins,Republican (incumbent),"354,569",58.90%,99.20%,
Montana,Ryan Busse,Democratic,"232,644",38.60%,99.20%,
Montana,Kaiser Leib,Libertarian,"15,191",2.50%,99.20%,
Montana,Write-ins,Write - In,0,0.00%,99.20%,
New Hampshire,Kelly Ayotte wins,Republican (incumbent),"436,122",53.60%,98.50%,
New Hampshire,Joyce Craig,Democratic,"360,149",44.30%,98.50%,
New Hampshire,Stephen Villee,Libertarian,"16,202",2.00%,98.50%,
New Hampshire,Write-ins,Write - In,"1,024",0.10%,98.50%,
North Carolina,Josh Stein wins,Democratic (incumbent),"3,069,496",54.90%,98.10%,
North Carolina,Mark Robinson,Republican,"2,241,309",40.10%,98.10%,
North Carolina,Mike Ross,Libertarian,"176,392",3.20%,98.10%,
North Carolina,Vinny Smith,Constitution,"54,738",1.00%,98.10%,
North Carolina,Wayne Turner,Green,"49,612",0.90%,98.10%,
North Dakota,Kelly Armstrong wins,Republican (incumbent),"247,056",68.40%,98.20%,
North Dakota,Merrill Piepkorn,Democratic,"94,043",26.00%,98.20%,
North Dakota,Michael Coachman,Independent,"20,322",5.60%,98.20%,
Utah,Spencer Cox wins,Republican (incumbent),"781,431",52.90%,99.20%,
Utah,Brian King,Democratic,"420,514",28.50%,99.20%,
Utah,Phil Lyman,Republican (incumbent),"200,551",13.60%,99.20%,
Utah,Robert Latham,Libertarian,"41,164",2.80%,99.20%,
Utah,Tommy Williams,Independent American,"27,480",1.90%,99.20%,
Utah,Tom Tomeny,Independent,"5,792",0.40%,99.20%,
Vermont,Phil Scott wins,Republican (incumbent),"266,439",73.40%,98.20%,
Vermont,Esther Charlestin,Democratic,"79,217",21.80%,98.20%,
Vermont,Kevin Hoyt,Independent,"9,368",2.60%,98.20%,
Vermont,June Goodband,Peace and Justice,"4,512",1.20%,98.20%,
Vermont,Poa Mutino,Independent,"2,414",0.70%,98.20%,
Vermont,Write-ins,Write - In,891,0.20%,98.20%,
Washington,Bob Ferguson wins,Democratic (incumbent),"2,143,368",55.60%,98.20%,
Washington,Dave Reichert,Republican,"1,709,818",44.40%,98.20%,
West Virginia,Patrick Morrisey wins,Republican (incumbent),"459,300",62.00%,96.90%,
West Virginia,Steve Williams,Democratic,"233,976",31.60%,96.90%,
West Virginia,Erika Kolenich,Libertarian,"21,228",2.90%,96.90%,
West Virginia,S. Marshall Wilson,Constitution,"16,828",2.30%,96.90%,
West Virginia,Chase Linko-Looper,Mountain Party,"9,596",1.30%,96.90%,
West Virginia,Write-ins,Write - In,0,0.00%,96.90%,
